,V,B,g,R,r,unknown
0,13,114,14,8,8,33
1,13,114,14,8,8,33
2,13,114,14,8,8,33
3,13,114,14,8,8,33
4,13,114,14,8,8,33
5,13,114,14,8,8,33
6,13,114,14,8,8,33
7,13,114,14,8,8,33
8,13,114,14,8,8,33
9,13,114,14,8,8,33
10,13,114,14,8,8,33
11,13,114,14,8,8,33
12,13,114,14,8,8,33
13,13,114,14,8,8,33
14,13,114,14,8,8,33
15,13,114,14,8,8,33
16,13,114,14,8,8,33
17,13,114,14,8,8,33
18,13,114,14,8,8,33
19,13,114,14,8,8,33
20,13,114,14,8,8,33
21,13,114,14,8,8,33
22,13,114,14,8,8,33
23,13,114,14,8,8,33
24,13,114,14,8,8,33
25,13,114,14,8,8,33
26,13,114,14,8,8,33
27,13,114,14,8,8,33
28,13,114,14,8,8,33
29,13,114,14,8,8,33
30,13,114,14,8,8,33
31,13,114,14,8,8,33
32,13,114,14,8,8,33
33,13,114,14,8,8,33
34,13,114,14,8,8,33
35,13,114,14,8,8,33
36,13,114,14,8,8,33
37,13,114,14,8,8,33
38,13,114,14,8,8,33
39,13,114,14,8,8,33
40,13,114,14,8,8,33
41,13,114,14,8,8,33
42,13,114,14,8,8,33
43,13,114,14,8,8,33
44,13,114,14,8,8,33
45,13,114,14,8,8,33
46,13,114,14,8,8,33
47,13,114,14,8,8,33
48,13,114,14,8,8,33
49,13,114,14,8,8,33
50,13,114,14,8,8,33
51,13,114,14,8,8,33
52,13,114,14,8,8,33
53,13,114,14,8,8,33
54,13,114,14,8,8,33
55,13,114,14,8,8,33
56,13,114,14,8,8,33
57,13,114,14,8,8,33
58,13,114,14,8,8,33
59,13,114,14,8,8,33
60,13,114,14,8,8,33
61,13,114,14,8,8,33
62,13,114,14,8,8,33
63,13,114,14,8,8,33
64,13,114,14,8,8,33
65,13,114,14,8,8,33
66,13,114,14,8,8,33
67,13,114,14,8,8,33
68,13,114,14,8,8,33
69,13,114,14,8,8,33
70,13,114,14,8,8,33
71,13,114,14,8,8,33
72,13,114,14,8,8,33
73,13,114,14,8,8,33
74,13,114,14,8,8,33
