file,date,time,pipeline,metadata,SNR_mean,SNR_median,SNR_var
T2m3ws-20230106.103716-0035.p12_SN,07/01/2023,00:57:27,v01,m01,44.76827771954907,45.90818014063002,257.2680857583451
T2m3ws-20220718.104325-0330.p12_SN,19/07/2022,02:01:05,v01,m01,23.668919872575042,24.66553767993226,139.81020204514147
T2m3ws-20220913.164125-0160.p12_SN,14/09/2022,04:46:41,v01,m01,5.0393256778639515,5.011418636524742,9.53020061768267
T2m3ws-20220709.152359-0515.p12_SN,12/07/2022,05:33:08,v01,m01,48.59969591367428,51.31250745885608,447.94936540622444
T2m3ws-20211211.140637-0072.p12_SN,15/12/2021,09:39:18,v01,m01,21.416933934138328,22.37094691033171,111.811509105569
T2m3ws-20211025.173637-0119.p12_SN,26/10/2021,05:26:29,v01,m01,44.902644016989285,50.75611798246534,377.97420997803965
T2m3ws-20220426.123220-0026.p12_SN,07/05/2022,00:20:37,v01,m01,6.167081584795647,5.812239151356869,19.792850855105705
T2m3ws-20220820.162335-0144.p12_SN,21/08/2022,07:25:41,v01,m01,3.2452809986115727,3.186054506907023,6.0930218296849326
T2m3ws-20220716.124920-0226.p12_SN,17/07/2022,05:19:07,v01,m01,4.821996391785556,5.243399560863279,11.147797350771372
T2m3ws-20211009.165150-0126.p12_SN,10/10/2021,00:11:10,v01,m01,3.160745903262727,3.075057814499652,7.201161462195491
T2m3ws-20210914.183939-0190.p12_SN,20/11/2021,12:58:58,v01,m01,35.654361351589024,40.539396380529155,391.371698969765
T2m3ws-20210915.180232-0377.p12_SN,20/11/2021,10:01:12,v01,m01,2.5360083294545697,2.705858462383298,2.5286113895563287
T2m3ws-20211115.143731-0071.p12_SN,16/11/2021,06:06:05,v01,m01,30.155751957518266,31.044934892052716,110.47031816022107
T2m3ws-20220509.160759-0079.p12_SN,11/05/2022,05:30:59,v01,m01,-0.020050188103352354,0.025735424757484488,2.214145786050973
T2m3ws-20211025.161147-0116.p12_SN,26/10/2021,01:22:18,v01,m01,2.6784520392591107,2.8434619089116175,3.203045836955017
T2m3ws-20211115.125303-0067.p12_SN,16/11/2021,06:03:36,v01,m01,197.54996336945135,209.99874710818727,9307.337981723636
T2m3ws-20211026.115233-0056.p12_SN,27/10/2021,02:10:29,v01,m01,3.6646632862422535,3.811152507176449,2.535779900434279
T2m3ws-20211008.175054-0082.p12_SN,09/10/2021,10:14:01,v01,m01,28.52196650954904,31.894884877674322,212.71021032591182
T2m3ws-20210915.170157-0375.p12_SN,20/11/2021,11:13:14,v01,m01,1.0139026052363287,1.0212581122842201,0.5148921726791661
T2m3ws-20220817.141216-0035.p12_SN,18/08/2022,03:14:15,v01,m01,3.2848651042412773,3.1502957939050713,3.9985143453791783
T2m3ws-20211026.131800-0059.p12_SN,27/10/2021,02:14:02,v01,m01,7.409676333335143,7.641236376630338,10.57087998591171
T2m3ws-20211114.171319-0065.p12_SN,15/11/2021,12:35:32,v01,m01,2.188816509535277,2.1395474773636622,2.1365931886285083
T2m3ws-20211026.144018-0062.p12_SN,27/10/2021,02:15:33,v01,m01,4.817538736989662,4.889672404219878,7.404710082729762
T2m3ws-20211024.160134-0093.p12_SN,25/10/2021,08:43:22,v01,m01,9.060808037424197,9.14657672304962,17.554190462656173
T2m3ws-20211007.173121-0040.p12_SN,20/11/2021,07:14:14,v01,m01,4.555920599624832,4.992213354097723,4.2126424835394065
T2m3ws-20210914.175245-0188.p12_SN,20/11/2021,10:35:58,v01,m01,26.371663322343892,28.319250005339697,193.55863149876262
T2m3ws-20210926.131058-0069.p12_SN,18/10/2021,03:27:07,v01,m01,48.89106776289051,53.43767364552897,351.0849405415395
T2m3ws-20210916.162835-0478.p12_SN,20/11/2021,09:39:03,v01,m01,30.77573447094866,37.05616717889309,225.07041110586445
T2m3ws-20220502.145631-0027.p12_SN,07/05/2022,08:10:23,v01,m01,4.811247195451538,4.888680700980932,4.745652326713308
T2m3ws-20211114.144003-0059.p12_SN,15/11/2021,11:45:03,v01,m01,21.89409814775191,26.456303108319872,98.27060705199844
T2m3ws-20210922.165306-0008.p12_SN,10/10/2021,01:27:08,v01,m01,4.810112046512585,4.755310778914241,8.226696726562047
T2m3ws-20221104.110100-0036.p12_SN,05/11/2022,06:33:57,v01,m01,10.057750399731697,10.32887995534113,20.30226603819855
T2m3ws-20220912.124224-0060.p12_SN,13/09/2022,03:40:40,v01,m01,13.013460368803008,12.999848481249272,30.643408798155264
T2m3ws-20220905.185818-0048.p12_SN,06/09/2022,09:11:46,v01,m01,0.8879431963369095,0.9010725215643084,1.190395942050045
T2m3ws-20211016.171517-0119.p12_SN,17/10/2021,03:03:46,v01,m01,7.638848680577719,7.572773755885182,13.73233264741776
T2m3ws-20210922.162607-0006.p12_SN,10/10/2021,01:26:53,v01,m01,4.771554256933151,4.583447252275124,7.7250768833477705
T2m3ws-20211027.130833-0058.p12_SN,28/10/2021,08:59:06,v01,m01,2.12133176557135,2.1020842482101134,4.120207915019016
T2m3ws-20220625.193305-0172.p12_SN,09/07/2022,05:21:47,v01,m01,2.743442422341946,2.60611460979927,5.521300904106149
T2m3ws-20211017.154844-0100.p12_SN,18/10/2021,01:40:20,v01,m01,20.98493386887953,22.386679797481296,95.3681043224608
OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN,16/06/2022,14:58:41,v01,m01,0.6618547689276991,0.7116811138243341,2.5693054237835864
T2m3ws-20220428.155027-0033.p12_SN,07/05/2022,04:50:23,v01,m01,3.7292711854109677,3.6645668066573336,4.889290698497939
OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN,18/11/2021,15:19:07,v01,m01,1.8045118135529958,1.78091446081099,2.282611696337441
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN,11/10/2022,13:33:14,v01,m01,32.635755504917874,33.53544762155344,169.9529049432371
T2m3ws-20220623.172702-0094.p12_SN,24/06/2022,10:46:37,v01,m01,16.59229749514841,16.82816917177485,44.46304547884834
T2m3ws-20210922.155908-0005.p12_SN,20/11/2021,09:20:43,v01,m01,4.004701964350814,4.184631304047895,3.9913891665756154
OBK-11968-WiFeS-Splice-UT20220613T192020-4.p12_SN,18/06/2022,12:30:36,v01,m01,0.6124620242055685,0.6553684360122219,0.8600449261284666
T2m3ws-20210914.170537-0186.p12_SN,20/11/2021,12:37:32,v01,m01,41.87201643997862,44.143531498038115,461.877053111812
OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN,14/06/2022,15:08:53,v01,m01,9.960130289711238,11.02698967251507,37.09141703756904
T2m3ws-20210914.110126-0157.p12_SN,20/11/2021,10:57:42,v01,m01,5.825752702459381,5.93286808969157,7.864158260900638
T2m3ws-20220919.091424-0028.p12_SN,20/09/2022,04:56:06,v01,m01,13.03772398804001,13.400854358134826,38.60633678854103
OBK-14848-WiFeS-Splice-UT20220615T171540-1.p12_SN,16/06/2022,14:56:54,v01,m01,5.7469734246035005,5.916106769255856,7.227633058593122
T2m3ws-20210914.143914-0180.p12_SN,20/11/2021,13:17:59,v01,m01,10.527257069683325,10.980281577726831,26.720374519267025
T2m3ws-20210915.185046-0379.p12_SN,10/10/2021,01:26:05,v01,m01,2.7802025601062343,2.8116854239252387,2.858123743643487
T2m3ws-20211114.131522-0056.p12_SN,15/11/2021,11:46:52,v01,m01,53.68389810648888,53.79219780923708,717.5979742738807
T2m3ws-20220917.182413-0251.p12_SN,18/09/2022,08:16:42,v01,m01,15.362794339110057,17.008691639945212,73.01112158501219
T2m3ws-20211114.114217-0053.p12_SN,15/11/2021,11:42:55,v01,m01,2.2267525698704396,2.252484734364802,1.7485194412364327
T2m3ws-20211214.124728-0063.p12_SN,16/12/2021,00:12:49,v01,m01,7.000954371803943,6.603915248642544,20.609601090932454
T2m3ws-20220817.153815-0038.p12_SN,18/08/2022,03:49:29,v01,m01,7.373963821425888,7.707140228965606,13.023652281568992
T2m3ws-20220913.153839-0158.p12_SN,14/09/2022,03:51:38,v01,m01,3.5481731844499143,3.561766290592986,6.386723283051327
T2m3ws-20210922.150706-0003.p12_SN,20/11/2021,08:47:57,v01,m01,3.4777091151158785,3.5278200060808755,2.1568869167642992
T2m3ws-20211115.111210-0063.p12_SN,16/11/2021,06:01:10,v01,m01,1.6542929014095253,1.7126830191098996,2.8201473934899597
T2m3ws-20220807.104858-0027.p12_SN,09/08/2022,11:25:21,v01,m01,0.4679462693699335,0.4770327154853444,0.3545859855091272
T2m3ws-20210922.174228-0010.p12_SN,20/11/2021,12:37:36,v01,m01,20.904297503820455,22.230241310604384,60.603647173128024
T2m3ws-20211220.130256-0059.p12_SN,21/12/2021,06:50:19,v01,m01,31.331290184313826,33.69267532821634,224.59032706631575
T2m3ws-20220715.161805-0150.p12_SN,16/07/2022,05:01:41,v01,m01,16.690792156147015,17.335545676465102,56.75307054162965
T2m3ws-20210914.162000-0184.p12_SN,20/11/2021,11:57:30,v01,m01,3.7940781671781494,3.948468524946046,3.7186410099799483
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN,18/06/2022,08:06:01,v01,m01,3.6998646057520554,4.040760235434439,5.72190212972318
T2m3ws-20220426.103050-0024.p12_SN,05/05/2022,08:28:48,v01,m01,7.005415453722183,6.830034805091849,17.51634091506008
T2m3ws-20220817.165359-0041.p12_SN,18/08/2022,04:17:49,v01,m01,4.497779265537186,4.930568033127168,10.685656581610868
T2m3ws-20220912.134431-0062.p12_SN,13/09/2022,04:00:29,v01,m01,12.969252518666405,13.55755661581883,34.96018025916347
OBK-93376-WiFeS-Splice-UT20221013T122240-8.p12_SN,22/10/2022,07:16:35,v01,m01,3.720864591249893,3.8554216867469884,3.155094262814059
T2m3ws-20210926.161749-0076.p12_SN,20/11/2021,09:03:40,v01,m01,12.83261529521412,13.419039514270365,43.492720072886755
T2m3ws-20211211.122308-0068.p12_SN,15/12/2021,09:19:18,v01,m01,16.999245257333424,16.742478962319367,95.31827526520053
T2m3ws-20210926.145254-0073.p12_SN,20/11/2021,07:14:30,v01,m01,12.33705137649186,12.251457429225654,28.625535892121384
T2m3ws-20210919.181217-0138.p12_SN,18/10/2021,02:40:06,v01,m01,10.834063500761854,11.165750516972544,9.495698463482206
